HIP,right ascension_lon,declination_lat,apparent magnitude,Star Name
17608,56.5,23.93,4.14,
17618,56.5,-29.33,5.91,
17651,56.5,-23.23,4.22,
17678,56.75,-74.23,3.26,
17702,56.75,24.1,2.85,Alcyone
17717,56.75,-23.86,5.24,
17738,56.75,-30.16,5.52,
17771,57,11.13,5.08,
17776,57,23.41,5.44,
17797,57,-37.61,4.3,
17798,57,-20.9,5.81,
17805,57,0.21,5.91,
17846,57.25,43.95,5.95,
17847,57.25,24.05,3.62,
17851,57.25,24.13,5.05,
17854,57.25,70.86,5.4,
17874,57.25,-36.2,4.17,
17884,57.25,65.51,4.39,
17886,57.25,33.08,5.14,
17891,57.25,63.28,5.82,
17932,57.5,44.96,5.65,
17954,57.5,25.56,5.24,
17959,57.5,71.31,4.59,
18081,57.75,34.35,5.78,
18089,58,6.53,5.66,
18141,58,-5.35,5.48,
18170,58.25,17.31,5.97,
18199,58.25,-46.88,5.93,
18212,58.25,48.65,5.76,
18213,58.25,-34.71,5.11,
18216,58.25,-24.6,4.64,
18217,58.25,57.96,5.8,
18246,58.5,31.88,2.84,
18255,58.5,-2.95,4.46,
18262,58.5,-40.35,5.7,
18339,58.75,-12.08,5.99,
18396,58.75,47.86,5.39,
18434,59,35.06,5.49,
18453,59,50.68,5.28,
18471,59,22.46,5.62,
18488,59.25,61.1,4.99,
18505,59.25,63.06,4.95,
18532,59.25,40,2.9,
18543,59.5,-13.5,2.97,Zaurak
18597,59.5,-61.4,4.56,
18606,59.5,-5.46,5.85,
18614,59.5,35.78,3.98,
18647,59.75,-12.56,5.61,
18673,59.75,-24,4.62,
18723,60,-30.48,5.93,
18724,60,12.48,3.41,
18735,60,18.18,5.89,
18744,60,-62.15,4.48,
18772,60.25,-61.06,4.97,
18788,60.25,-1.53,5.28,
18805,60.25,9.98,5.67,
18859,60.5,-0.26,5.38,
18907,60.75,5.98,3.91,
18957,60.75,5.43,5.32,
18975,60.75,8.18,5.45,
18993,61,2.81,5.36,
19009,61,24.1,5.46,
19011,61,-12.78,5.62,
19018,61,59.15,5,
19038,61,22.06,4.36,
19076,61.25,22,5.9,
19095,61.25,-27.65,5.59,
19129,61.5,68.66,5.88,
19167,61.5,50.35,4.25,
19171,61.5,27.6,5.18,
19205,61.75,29,5.21,
19284,61.75,17.33,5.89,
19335,62,38.03,5.52,
19343,62,47.7,3.96,
19376,62.25,13.38,5.94,
19388,62.25,19.6,5.51,
19398,62.25,-16.38,5.45,
19454,62.5,86.61,5.84,
19461,62.5,80.68,5.1,
19483,62.5,-6.91,5.44,
19511,62.5,-8.81,5.7,
19513,62.5,26.46,5.39,
19515,62.5,-41.98,4.93,
19525,62.5,33.58,5.75,
19554,62.75,5.51,5.71,
19571,62.75,-20.35,5.8,
19587,62.75,-6.83,4.04,
19719,63.25,7.7,5.29,
19740,63.25,9.25,4.84,
19747,63.5,-42.28,3.85,
19777,63.5,-10.25,4.87,
19780,63.5,-62.46,3.33,
19799,63.5,10,5.22,
19805,63.5,-62.18,5.45,
19811,63.5,40.48,4.67,
19812,63.5,48.4,4.12,
19849,63.75,-7.63,4.43,
19860,63.75,8.88,4.27,
19893,64,-51.48,4.26,
19921,64,-59.3,4.44,
19949,64,53.6,5.2,
19968,64,61.85,5.69,
19983,64.25,57.85,5.72,
19990,64.25,20.56,4.93,
19996,64.25,-6.46,5.95,
20020,64.25,-63.25,5.88,
20042,64.25,-33.78,3.55,
20049,64.25,-80.2,5.67,
20070,64.5,50.28,4.6,
20075,64.5,-20.7,6,
20087,64.5,21.56,5.64,
20156,64.75,50.03,5.46,
20161,64.75,-44.26,5.33,
20171,64.75,21.13,5.5,
20186,64.75,21.76,5.34,
20205,64.75,15.61,3.65,
20219,64.75,14.03,5.58,
20234,65,50.91,5.55,
20241,65,41.8,5.95,
20250,65,27.35,4.97,
20252,65,34.56,4.93,
20261,65,15.08,5.26,
20264,65,-20.63,5.38,
20266,65,65.13,5.26,
20268,65,6.11,5.76,
20271,65,-7.58,5.85,
20297,65,-81.56,5.78,
20341,65.25,-0.08,5.86,
20354,65.25,46.48,4.8,
20376,65.25,60.73,5.4,
20380,65.25,56.5,5.91,
